team,gameweek,week_start,avg_score,avg_score_pct,n_articles,n_relevant
Besiktas,2026-W04,2026-01-19,0.0,0.0,2,0
Besiktas,2026-W05,2026-01-26,1.444,36.1,9,4
Besiktas,2026-W06,2026-02-02,4.0,100.0,1,1
Besiktas,2026-W07,2026-02-09,3.0,75.0,2,2
Besiktas,2026-W09,2026-02-23,0.0,0.0,1,0
Besiktas,2026-W10,2026-03-02,0.0,0.0,1,0
Besiktas,2026-W12,2026-03-16,0.0,0.0,2,0
Besiktas,2026-W13,2026-03-23,0.0,0.0,1,0
Besiktas,2026-W14,2026-03-30,0.0,0.0,1,0
Besiktas,2026-W15,2026-04-06,0.0,0.0,1,0
Besiktas,2026-W16,2026-04-13,0.0,0.0,6,0
Besiktas,2026-W17,2026-04-20,0.917,22.9,12,4
Buyuksehyr,2025-W29,2025-07-14,0.0,0.0,1,0
Buyuksehyr,2025-W32,2025-08-04,0.0,0.0,1,0
Buyuksehyr,2025-W33,2025-08-11,0.0,0.0,1,0
Buyuksehyr,2025-W34,2025-08-18,0.0,0.0,2,0
Buyuksehyr,2025-W35,2025-08-25,0.0,0.0,2,0
Buyuksehyr,2025-W37,2025-09-08,1.633,40.8,30,14
Buyuksehyr,2025-W38,2025-09-15,0.0,0.0,11,1
Buyuksehyr,2025-W39,2025-09-22,0.0,0.0,1,0
Buyuksehyr,2025-W41,2025-10-06,0.0,0.0,4,0
Buyuksehyr,2025-W42,2025-10-13,2.0,50.0,1,1
Buyuksehyr,2025-W43,2025-10-20,0.0,0.0,3,0
Buyuksehyr,2025-W44,2025-10-27,0.0,0.0,2,0
Buyuksehyr,2025-W45,2025-11-03,0.0,0.0,4,0
Buyuksehyr,2025-W48,2025-11-24,0.333,8.3,3,1
Buyuksehyr,2025-W49,2025-12-01,0.5,12.5,4,1
Buyuksehyr,2025-W50,2025-12-08,2.667,66.7,3,2
Buyuksehyr,2025-W51,2025-12-15,3.0,75.0,9,7
Buyuksehyr,2025-W52,2025-12-22,4.0,100.0,1,1
Buyuksehyr,2026-W03,2026-01-12,0.0,0.0,1,0
Buyuksehyr,2026-W05,2026-01-26,3.0,75.0,1,1
Buyuksehyr,2026-W06,2026-02-02,1.167,29.2,6,2
Buyuksehyr,2026-W07,2026-02-09,0.2,5.0,5,1
