team,gameweek,n_news,avg_grade,n_relevant
Eyupspor,2025-W28,1,0.75,1
Eyupspor,2025-W29,1,0.0,0
Eyupspor,2025-W33,1,0.25,1
Eyupspor,2025-W34,1,0.0,0
Eyupspor,2025-W38,2,1.0,2
Eyupspor,2025-W40,21,0.8929,21
Eyupspor,2025-W41,12,0.15,10
Eyupspor,2025-W42,28,0.0,1
Eyupspor,2025-W43,3,0.0,0
Eyupspor,2025-W47,1,0.0,0
Eyupspor,2025-W51,2,0.0,0
Eyupspor,2025-W52,1,1.0,1
Eyupspor,2026-W01,13,0.9231,13
Eyupspor,2026-W02,4,0.9375,4
Eyupspor,2026-W03,13,0.0625,4
Eyupspor,2026-W04,3,0.875,2
Eyupspor,2026-W05,4,0.875,2
Eyupspor,2026-W06,1,0.0,0
Eyupspor,2026-W07,3,0.5,2
Eyupspor,2026-W08,2,0.0,1
Eyupspor,2026-W09,3,0.875,2
Eyupspor,2026-W11,1,0.5,1
Eyupspor,2026-W12,1,0.75,1
Eyupspor,2026-W14,1,0.0,0
Eyupspor,2026-W16,2,0.625,2
Fenerbahce,2025-W28,1,0.0,1
Fenerbahce,2025-W29,1,0.0,0
Fenerbahce,2025-W32,2,0.25,1
Fenerbahce,2025-W33,2,0.0,0
Fenerbahce,2025-W34,5,0.625,4
Fenerbahce,2025-W35,55,0.6824,37
Fenerbahce,2025-W36,14,0.25,13
Fenerbahce,2025-W37,36,0.4896,24
Fenerbahce,2025-W38,21,0.5781,16
Fenerbahce,2025-W39,12,0.5455,11
Fenerbahce,2025-W40,6,0.625,2
Fenerbahce,2025-W41,4,0.9167,3
Fenerbahce,2025-W42,1,0.0,1
Fenerbahce,2025-W43,1,0.75,1
Fenerbahce,2025-W44,1,0.0,0
Fenerbahce,2025-W45,1,1.0,1
Fenerbahce,2025-W46,3,0.9167,3
Fenerbahce,2025-W47,1,0.0,0
Fenerbahce,2025-W48,4,0.375,2
Fenerbahce,2025-W49,2,0.375,2
Fenerbahce,2025-W50,5,0.75,3
Fenerbahce,2025-W51,3,0.625,2
Fenerbahce,2025-W52,2,0.0,0
Fenerbahce,2026-W01,2,0.375,2
Fenerbahce,2026-W02,1,0.0,0
Fenerbahce,2026-W03,3,0.875,2
Fenerbahce,2026-W04,5,0.4375,4
Fenerbahce,2026-W05,4,0.6667,3
Fenerbahce,2026-W06,2,0.0,1
Fenerbahce,2026-W07,5,0.65,5
Fenerbahce,2026-W08,5,0.25,4
Fenerbahce,2026-W10,9,0.9062,8
Fenerbahce,2026-W11,23,0.7976,21
Fenerbahce,2026-W12,5,0.6,5
Fenerbahce,2026-W15,3,0.75,1
Fenerbahce,2026-W16,21,0.4643,14
Fenerbahce,2026-W17,5,0.8333,3
Galatasaray,2025-W30,1,0.0,0
Galatasaray,2025-W31,1,0.0,0
Galatasaray,2025-W32,1,0.0,0
Galatasaray,2025-W35,1,0.5,1
Galatasaray,2025-W37,1,0.5,1
Galatasaray,2025-W38,3,0.9167,3
Galatasaray,2025-W39,1,0.0,0
Galatasaray,2025-W40,4,0.375,4
Galatasaray,2025-W42,4,0.5,3
Galatasaray,2025-W43,2,0.0,0
Galatasaray,2025-W44,4,0.875,4
Galatasaray,2025-W45,6,0.9375,4
Galatasaray,2025-W46,3,1.0,1
Galatasaray,2025-W47,2,1.0,1
Galatasaray,2025-W48,2,0.75,2
Galatasaray,2025-W49,2,0.875,2
Galatasaray,2025-W50,3,0.25,2
Galatasaray,2025-W51,3,0.0,0
Galatasaray,2025-W52,5,0.6667,3
Galatasaray,2026-W01,1,1.0,1
Galatasaray,2026-W02,4,0.25,2
Galatasaray,2026-W03,5,0.9167,3
Galatasaray,2026-W04,4,0.75,2
Galatasaray,2026-W05,3,0.5,1
Galatasaray,2026-W06,4,0.75,2
Galatasaray,2026-W07,11,1.0,1
Galatasaray,2026-W08,4,0.5,2
Galatasaray,2026-W09,4,0.6667,3
Galatasaray,2026-W10,2,1.0,1
Galatasaray,2026-W11,6,0.0,2
Galatasaray,2026-W12,11,0.3125,4
Galatasaray,2026-W14,3,0.75,1
Galatasaray,2026-W15,1,0.5,1
Galatasaray,2026-W16,27,0.7639,18
Galatasaray,2026-W17,11,0.5312,8
