season,match_date,team,opponent,gf,ga,FTR,home,goal_diff,points,match_n,trainer_id,manager_name,event_time,change_index,manager_out,fire_date,post,match_week_monday,prev_week_monday,exp_lag1,nationality,age_at_appointment
2005-2006,2005-09-17,Denizlispor,Malatyaspor,1.0,0.0,A,0,1.0,3,6,,,,-1,,,,2005-09-12,2005-09-05,,,
2005-2006,2005-09-24,Denizlispor,Gaziantepspor,1.0,2.0,A,1,-1.0,0,7,,,,-1,,,,2005-09-19,2005-09-12,,,
2005-2006,2005-10-01,Denizlispor,Sivasspor,0.0,1.0,H,0,-1.0,0,8,806,Nurullah Sağlam,,-1,,,,2005-09-26,2005-09-19,,Türkiye,39.7
2005-2006,2005-10-16,Denizlispor,Manisaspor,1.0,1.0,D,1,0.0,1,9,806,Nurullah Sağlam,,-1,,,,2005-10-10,2005-10-03,,Türkiye,39.7
2005-2006,2005-10-22,Denizlispor,Galatasaray,1.0,1.0,D,0,0.0,1,10,806,Nurullah Sağlam,,-1,,,,2005-10-17,2005-10-10,,Türkiye,39.7
2005-2006,2005-10-28,Denizlispor,Trabzonspor,0.0,1.0,A,1,-1.0,0,11,806,Nurullah Sağlam,,-1,,,,2005-10-24,2005-10-17,,Türkiye,39.7
2005-2006,2005-11-05,Denizlispor,Erciyesspor,0.0,2.0,H,0,-2.0,0,12,806,Nurullah Sağlam,,-1,,,,2005-10-31,2005-10-24,,Türkiye,39.7
2005-2006,2005-11-19,Denizlispor,Samsunspor,2.0,1.0,A,0,1.0,3,13,806,Nurullah Sağlam,,-1,,,,2005-11-14,2005-11-07,,Türkiye,39.7
2005-2006,2005-11-27,Denizlispor,Genclerbirligi,0.0,2.0,A,1,-2.0,0,14,806,Nurullah Sağlam,,-1,,,,2005-11-21,2005-11-14,,Türkiye,39.7
2005-2006,2005-12-04,Denizlispor,Diyarbakirspor,0.0,1.0,H,0,-1.0,0,15,806,Nurullah Sağlam,,-1,,,,2005-11-28,2005-11-21,,Türkiye,39.7
2005-2006,2005-12-10,Denizlispor,Rizespor,2.0,0.0,H,1,2.0,3,16,806,Nurullah Sağlam,,-1,,,,2005-12-05,2005-11-28,,Türkiye,39.7
2005-2006,2005-12-17,Denizlispor,Fenerbahce,2.0,6.0,H,0,-4.0,0,17,806,Nurullah Sağlam,,-1,,,,2005-12-12,2005-12-05,,Türkiye,39.7
2005-2006,2006-01-22,Denizlispor,Ankaraspor,3.0,1.0,A,0,2.0,3,18,806,Nurullah Sağlam,,-1,,,,2006-01-16,2006-01-09,,Türkiye,39.7
2005-2006,2006-02-04,Denizlispor,Kayserispor,2.0,2.0,D,0,0.0,1,19,806,Nurullah Sağlam,,-1,,,,2006-01-30,2006-01-23,,Türkiye,39.7
2005-2006,2006-02-12,Denizlispor,Konyaspor,5.0,2.0,H,1,3.0,3,20,806,Nurullah Sağlam,,-1,,,,2006-02-06,2006-01-30,,Türkiye,39.7
2005-2006,2006-02-19,Denizlispor,Ankaragucu,1.0,1.0,D,0,0.0,1,21,806,Nurullah Sağlam,,-1,,,,2006-02-13,2006-02-06,,Türkiye,39.7
2005-2006,2006-02-26,Denizlispor,Malatyaspor,1.0,0.0,H,1,1.0,3,22,806,Nurullah Sağlam,,-1,,,,2006-02-20,2006-02-13,,Türkiye,39.7
2005-2006,2006-03-05,Denizlispor,Gaziantepspor,0.0,1.0,H,0,-1.0,0,23,806,Nurullah Sağlam,,-1,,,,2006-02-27,2006-02-20,,Türkiye,39.7
2005-2006,2006-03-12,Denizlispor,Sivasspor,4.0,0.0,H,1,4.0,3,24,806,Nurullah Sağlam,,-1,,,,2006-03-06,2006-02-27,,Türkiye,39.7
2005-2006,2006-03-18,Denizlispor,Manisaspor,2.0,4.0,H,0,-2.0,0,25,806,Nurullah Sağlam,,-1,,,,2006-03-13,2006-03-06,,Türkiye,39.7
2005-2006,2006-03-25,Denizlispor,Galatasaray,1.0,2.0,A,1,-1.0,0,26,806,Nurullah Sağlam,,-1,,,,2006-03-20,2006-03-13,,Türkiye,39.7
2005-2006,2006-03-29,Denizlispor,Besiktas,1.0,1.0,D,1,0.0,1,27,806,Nurullah Sağlam,,-1,,,,2006-03-27,2006-03-20,,Türkiye,39.7
2005-2006,2006-04-02,Denizlispor,Trabzonspor,0.0,3.0,H,0,-3.0,0,28,806,Nurullah Sağlam,,-1,,,,2006-03-27,2006-03-20,,Türkiye,39.7
2005-2006,2006-04-09,Denizlispor,Erciyesspor,1.0,1.0,D,1,0.0,1,29,806,Nurullah Sağlam,,-1,,,,2006-04-03,2006-03-27,,Türkiye,39.7
2005-2006,2006-04-15,Denizlispor,Samsunspor,1.0,2.0,A,1,-1.0,0,30,806,Nurullah Sağlam,,-1,,,,2006-04-10,2006-04-03,,Türkiye,39.7
2005-2006,2006-04-23,Denizlispor,Genclerbirligi,3.0,3.0,D,0,0.0,1,31,806,Nurullah Sağlam,,-1,,,,2006-04-17,2006-04-10,,Türkiye,39.7
2005-2006,2006-04-29,Denizlispor,Diyarbakirspor,1.0,0.0,H,1,1.0,3,32,806,Nurullah Sağlam,,-1,,,,2006-04-24,2006-04-17,,Türkiye,39.7
2005-2006,2006-05-06,Denizlispor,Rizespor,2.0,1.0,A,0,1.0,3,33,806,Nurullah Sağlam,,-1,,,,2006-05-01,2006-04-24,,Türkiye,39.7
2005-2006,2006-05-14,Denizlispor,Fenerbahce,1.0,1.0,D,1,0.0,1,34,806,Nurullah Sağlam,,-1,,,,2006-05-08,2006-05-01,,Türkiye,39.7
2007-2008,2007-08-12,Denizlispor,Bursaspor,0.0,0.0,D,1,0.0,1,1,804,Güvenç Kurtar,-32.0,166,Güvenç Kurtar,2008-04-30,0.0,2007-08-06,2007-07-30,,Türkiye,64.5
2007-2008,2007-08-19,Denizlispor,Ankaragucu,2.0,3.0,H,0,-1.0,0,2,804,Güvenç Kurtar,-31.0,166,Güvenç Kurtar,2008-04-30,0.0,2007-08-13,2007-08-06,,Türkiye,64.5
2007-2008,2007-08-26,Denizlispor,Manisaspor,3.0,2.0,H,1,1.0,3,3,804,Güvenç Kurtar,-30.0,166,Güvenç Kurtar,2008-04-30,0.0,2007-08-20,2007-08-13,,Türkiye,64.5
2007-2008,2007-09-01,Denizlispor,Konyaspor,2.0,2.0,D,0,0.0,1,4,804,Güvenç Kurtar,-29.0,166,Güvenç Kurtar,2008-04-30,0.0,2007-08-27,2007-08-20,,Türkiye,64.5
2007-2008,2007-09-15,Denizlispor,Kasimpasa,0.0,1.0,A,1,-1.0,0,5,804,Güvenç Kurtar,-28.0,166,Güvenç Kurtar,2008-04-30,0.0,2007-09-10,2007-09-03,,Türkiye,64.5
2007-2008,2007-09-22,Denizlispor,Besiktas,2.0,3.0,H,0,-1.0,0,6,804,Güvenç Kurtar,-27.0,166,Güvenç Kurtar,2008-04-30,0.0,2007-09-17,2007-09-10,,Türkiye,64.5
2007-2008,2007-09-30,Denizlispor,Kayserispor,2.0,0.0,H,1,2.0,3,7,804,Güvenç Kurtar,-26.0,166,Güvenç Kurtar,2008-04-30,0.0,2007-09-24,2007-09-17,,Türkiye,64.5
2007-2008,2007-10-06,Denizlispor,Ankaraspor,0.0,0.0,D,0,0.0,1,8,804,Güvenç Kurtar,-25.0,166,Güvenç Kurtar,2008-04-30,0.0,2007-10-01,2007-09-24,,Türkiye,64.5
2007-2008,2007-10-20,Denizlispor,Gaziantepspor,2.0,1.0,A,0,1.0,3,9,804,Güvenç Kurtar,-24.0,166,Güvenç Kurtar,2008-04-30,0.0,2007-10-15,2007-10-08,,Türkiye,64.5
2007-2008,2007-10-28,Denizlispor,Galatasaray,1.0,2.0,A,1,-1.0,0,10,804,Güvenç Kurtar,-23.0,166,Güvenç Kurtar,2008-04-30,0.0,2007-10-22,2007-10-15,,Türkiye,64.5
2007-2008,2007-11-04,Denizlispor,Genclerbirligi,2.0,1.0,A,0,1.0,3,11,804,Güvenç Kurtar,-22.0,166,Güvenç Kurtar,2008-04-30,0.0,2007-10-29,2007-10-22,,Türkiye,64.5
2007-2008,2007-11-09,Denizlispor,Trabzonspor,2.0,0.0,H,1,2.0,3,12,804,Güvenç Kurtar,-21.0,166,Güvenç Kurtar,2008-04-30,0.0,2007-11-05,2007-10-29,,Türkiye,64.5
2007-2008,2007-11-24,Denizlispor,Buyuksehyr,2.0,0.0,A,0,2.0,3,13,804,Güvenç Kurtar,-20.0,166,Güvenç Kurtar,2008-04-30,0.0,2007-11-19,2007-11-12,,Türkiye,64.5
2007-2008,2007-12-01,Denizlispor,Fenerbahce,0.0,1.0,A,1,-1.0,0,14,804,Güvenç Kurtar,-19.0,166,Güvenç Kurtar,2008-04-30,0.0,2007-11-26,2007-11-19,,Türkiye,64.5
2007-2008,2007-12-09,Denizlispor,Sivasspor,0.0,2.0,H,0,-2.0,0,15,804,Güvenç Kurtar,-18.0,166,Güvenç Kurtar,2008-04-30,0.0,2007-12-03,2007-11-26,,Türkiye,64.5
2007-2008,2007-12-16,Denizlispor,Oftasspor,2.0,1.0,H,1,1.0,3,16,804,Güvenç Kurtar,-17.0,166,Güvenç Kurtar,2008-04-30,0.0,2007-12-10,2007-12-03,,Türkiye,64.5
2007-2008,2007-12-23,Denizlispor,Rizespor,0.0,2.0,H,0,-2.0,0,17,804,Güvenç Kurtar,-16.0,166,Güvenç Kurtar,2008-04-30,0.0,2007-12-17,2007-12-10,,Türkiye,64.5
2007-2008,2008-01-13,Denizlispor,Bursaspor,1.0,1.0,D,0,0.0,1,18,804,Güvenç Kurtar,-15.0,166,Güvenç Kurtar,2008-04-30,0.0,2008-01-07,2007-12-31,,Türkiye,64.5
2007-2008,2008-01-20,Denizlispor,Ankaragucu,1.0,1.0,D,1,0.0,1,19,804,Güvenç Kurtar,-14.0,166,Güvenç Kurtar,2008-04-30,0.0,2008-01-14,2008-01-07,,Türkiye,64.5
2007-2008,2008-01-27,Denizlispor,Manisaspor,2.0,3.0,H,0,-1.0,0,20,804,Güvenç Kurtar,-13.0,166,Güvenç Kurtar,2008-04-30,0.0,2008-01-21,2008-01-14,,Türkiye,64.5
2007-2008,2008-02-10,Denizlispor,Konyaspor,2.0,1.0,H,1,1.0,3,21,804,Güvenç Kurtar,-12.0,166,Güvenç Kurtar,2008-04-30,0.0,2008-02-04,2008-01-28,,Türkiye,64.5
2007-2008,2008-02-17,Denizlispor,Kasimpasa,0.0,1.0,H,0,-1.0,0,22,804,Güvenç Kurtar,-11.0,166,Güvenç Kurtar,2008-04-30,0.0,2008-02-11,2008-02-04,,Türkiye,64.5
2007-2008,2008-02-22,Denizlispor,Besiktas,1.0,2.0,A,1,-1.0,0,23,804,Güvenç Kurtar,-10.0,166,Güvenç Kurtar,2008-04-30,0.0,2008-02-18,2008-02-11,,Türkiye,64.5
2007-2008,2008-03-02,Denizlispor,Kayserispor,1.0,1.0,D,0,0.0,1,24,804,Güvenç Kurtar,-9.0,166,Güvenç Kurtar,2008-04-30,0.0,2008-02-25,2008-02-18,,Türkiye,64.5
2007-2008,2008-03-08,Denizlispor,Ankaraspor,1.0,0.0,H,1,1.0,3,25,804,Güvenç Kurtar,-8.0,166,Güvenç Kurtar,2008-04-30,0.0,2008-03-03,2008-02-25,,Türkiye,64.5
2007-2008,2008-03-16,Denizlispor,Gaziantepspor,2.0,1.0,H,1,1.0,3,26,804,Güvenç Kurtar,-7.0,166,Güvenç Kurtar,2008-04-30,0.0,2008-03-10,2008-03-03,,Türkiye,64.5
2007-2008,2008-03-23,Denizlispor,Galatasaray,1.0,2.0,H,0,-1.0,0,27,804,Güvenç Kurtar,-6.0,166,Güvenç Kurtar,2008-04-30,0.0,2008-03-17,2008-03-10,,Türkiye,64.5
2007-2008,2008-03-29,Denizlispor,Genclerbirligi,3.0,2.0,H,1,1.0,3,28,804,Güvenç Kurtar,-5.0,166,Güvenç Kurtar,2008-04-30,0.0,2008-03-24,2008-03-17,,Türkiye,64.5
2007-2008,2008-04-04,Denizlispor,Trabzonspor,0.0,2.0,H,0,-2.0,0,29,804,Güvenç Kurtar,-4.0,166,Güvenç Kurtar,2008-04-30,0.0,2008-03-31,2008-03-24,,Türkiye,64.5
2007-2008,2008-04-12,Denizlispor,Buyuksehyr,2.0,3.0,A,1,-1.0,0,30,804,Güvenç Kurtar,-3.0,166,Güvenç Kurtar,2008-04-30,0.0,2008-04-07,2008-03-31,,Türkiye,64.5
2007-2008,2008-04-19,Denizlispor,Fenerbahce,1.0,4.0,H,0,-3.0,0,31,804,Güvenç Kurtar,-2.0,166,Güvenç Kurtar,2008-04-30,0.0,2008-04-14,2008-04-07,,Türkiye,64.5
2007-2008,2008-04-26,Denizlispor,Sivasspor,1.0,2.0,A,1,-1.0,0,32,804,Güvenç Kurtar,-1.0,166,Güvenç Kurtar,2008-04-30,0.0,2008-04-21,2008-04-14,,Türkiye,64.5
2007-2008,2008-05-03,Denizlispor,Oftasspor,2.0,0.0,A,0,2.0,3,33,,,0.0,166,Güvenç Kurtar,2008-04-30,1.0,2008-04-28,2008-04-21,,,
2007-2008,2008-05-10,Denizlispor,Rizespor,5.0,1.0,H,1,4.0,3,34,,,1.0,166,Güvenç Kurtar,2008-04-30,1.0,2008-05-05,2008-04-28,,,
2008-2009,2008-08-23,Denizlispor,Galatasaray,1.0,4.0,H,0,-3.0,0,1,6651,Ali Yalçın,-9.0,165,Ali Yalçın,2008-11-03,0.0,2008-08-18,2008-08-11,,Türkiye,59.0
2008-2009,2008-08-31,Denizlispor,Antalyaspor,3.0,2.0,H,1,1.0,3,2,6651,Ali Yalçın,-8.0,165,Ali Yalçın,2008-11-03,0.0,2008-08-25,2008-08-18,,Türkiye,59.0
2008-2009,2008-09-13,Denizlispor,Konyaspor,1.0,1.0,D,0,0.0,1,3,6651,Ali Yalçın,-7.0,165,Ali Yalçın,2008-11-03,0.0,2008-09-08,2008-09-01,,Türkiye,59.0
2008-2009,2008-09-19,Denizlispor,Trabzonspor,0.0,1.0,A,1,-1.0,0,4,6651,Ali Yalçın,-6.0,165,Ali Yalçın,2008-11-03,0.0,2008-09-15,2008-09-08,,Türkiye,59.0
2008-2009,2008-09-28,Denizlispor,Gaziantepspor,1.0,2.0,H,0,-1.0,0,5,6651,Ali Yalçın,-5.0,165,Ali Yalçın,2008-11-03,0.0,2008-09-22,2008-09-15,,Türkiye,59.0
2008-2009,2008-10-05,Denizlispor,Buyuksehyr,2.0,1.0,H,1,1.0,3,6,6651,Ali Yalçın,-4.0,165,Ali Yalçın,2008-11-03,0.0,2008-09-29,2008-09-22,,Türkiye,59.0
2008-2009,2008-10-18,Denizlispor,Hacettepespor,0.0,1.0,H,0,-1.0,0,7,6651,Ali Yalçın,-3.0,165,Ali Yalçın,2008-11-03,0.0,2008-10-13,2008-10-06,,Türkiye,59.0
2008-2009,2008-10-25,Denizlispor,Genclerbirligi,2.0,2.0,D,1,0.0,1,8,6651,Ali Yalçın,-2.0,165,Ali Yalçın,2008-11-03,0.0,2008-10-20,2008-10-13,,Türkiye,59.0
2008-2009,2008-11-02,Denizlispor,Sivasspor,1.0,3.0,H,0,-2.0,0,9,6651,Ali Yalçın,-1.0,165,Ali Yalçın,2008-11-03,0.0,2008-10-27,2008-10-20,,Türkiye,59.0
2008-2009,2008-11-09,Denizlispor,Kayserispor,1.0,0.0,H,1,1.0,3,10,,,0.0,165,Ali Yalçın,2008-11-03,1.0,2008-11-03,2008-10-27,,,
2008-2009,2008-11-15,Denizlispor,Kocaelispor,2.0,3.0,H,0,-1.0,0,11,802,Ümit Kayıhan,1.0,165,Ali Yalçın,2008-11-03,1.0,2008-11-10,2008-11-03,,Türkiye,43.1
2008-2009,2008-11-23,Denizlispor,Bursaspor,4.0,3.0,H,1,1.0,3,12,802,Ümit Kayıhan,2.0,165,Ali Yalçın,2008-11-03,1.0,2008-11-17,2008-11-10,,Türkiye,43.1
2008-2009,2008-11-29,Denizlispor,Eskisehirspor,3.0,4.0,H,0,-1.0,0,13,802,Ümit Kayıhan,3.0,165,Ali Yalçın,2008-11-03,1.0,2008-11-24,2008-11-17,,Türkiye,43.1
2008-2009,2008-12-05,Denizlispor,Fenerbahce,0.0,1.0,A,1,-1.0,0,14,802,Ümit Kayıhan,4.0,165,Ali Yalçın,2008-11-03,1.0,2008-12-01,2008-11-24,,Türkiye,43.1
2008-2009,2008-12-14,Denizlispor,Ankaraspor,0.0,2.0,H,0,-2.0,0,15,802,Ümit Kayıhan,5.0,165,Ali Yalçın,2008-11-03,1.0,2008-12-08,2008-12-01,,Türkiye,43.1
2008-2009,2008-12-21,Denizlispor,Ankaragucu,1.0,1.0,D,1,0.0,1,16,802,Ümit Kayıhan,6.0,165,Ali Yalçın,2008-11-03,1.0,2008-12-15,2008-12-08,,Türkiye,43.1
2008-2009,2009-01-24,Denizlispor,Besiktas,0.0,1.0,H,0,-1.0,0,17,802,Ümit Kayıhan,7.0,165,Ali Yalçın,2008-11-03,1.0,2009-01-19,2009-01-12,,Türkiye,43.1
2008-2009,2009-01-31,Denizlispor,Galatasaray,0.0,2.0,A,1,-2.0,0,18,802,Ümit Kayıhan,8.0,165,Ali Yalçın,2008-11-03,1.0,2009-01-26,2009-01-19,,Türkiye,43.1
2008-2009,2009-02-08,Denizlispor,Antalyaspor,1.0,2.0,H,0,-1.0,0,19,784,Mesut Bakkal,9.0,165,Ali Yalçın,2008-11-03,1.0,2009-02-02,2009-01-26,,Türkiye,53.9
2008-2009,2009-02-15,Denizlispor,Konyaspor,2.0,1.0,H,1,1.0,3,20,784,Mesut Bakkal,10.0,165,Ali Yalçın,2008-11-03,1.0,2009-02-09,2009-02-02,,Türkiye,53.9
2008-2009,2009-02-21,Denizlispor,Trabzonspor,2.0,0.0,A,0,2.0,3,21,784,Mesut Bakkal,11.0,165,Ali Yalçın,2008-11-03,1.0,2009-02-16,2009-02-09,,Türkiye,53.9
2008-2009,2009-02-28,Denizlispor,Gaziantepspor,2.0,0.0,H,1,2.0,3,22,784,Mesut Bakkal,12.0,165,Ali Yalçın,2008-11-03,1.0,2009-02-23,2009-02-16,,Türkiye,53.9
2008-2009,2009-03-07,Denizlispor,Buyuksehyr,2.0,0.0,A,0,2.0,3,23,784,Mesut Bakkal,13.0,165,Ali Yalçın,2008-11-03,1.0,2009-03-02,2009-02-23,,Türkiye,53.9
2008-2009,2009-03-15,Denizlispor,Hacettepespor,0.0,0.0,D,1,0.0,1,24,784,Mesut Bakkal,14.0,165,Ali Yalçın,2008-11-03,1.0,2009-03-09,2009-03-02,,Türkiye,53.9
2008-2009,2009-03-22,Denizlispor,Genclerbirligi,0.0,0.0,D,0,0.0,1,25,784,Mesut Bakkal,15.0,165,Ali Yalçın,2008-11-03,1.0,2009-03-16,2009-03-09,,Türkiye,53.9
2008-2009,2009-04-04,Denizlispor,Sivasspor,0.0,2.0,A,1,-2.0,0,26,784,Mesut Bakkal,16.0,165,Ali Yalçın,2008-11-03,1.0,2009-03-30,2009-03-23,,Türkiye,53.9
2008-2009,2009-04-12,Denizlispor,Kayserispor,0.0,2.0,H,0,-2.0,0,27,784,Mesut Bakkal,17.0,165,Ali Yalçın,2008-11-03,1.0,2009-04-06,2009-03-30,,Türkiye,53.9
2008-2009,2009-04-19,Denizlispor,Kocaelispor,2.0,1.0,H,1,1.0,3,28,784,Mesut Bakkal,18.0,165,Ali Yalçın,2008-11-03,1.0,2009-04-13,2009-04-06,,Türkiye,53.9
2008-2009,2009-04-26,Denizlispor,Bursaspor,0.0,2.0,H,0,-2.0,0,29,784,Mesut Bakkal,19.0,165,Ali Yalçın,2008-11-03,1.0,2009-04-20,2009-04-13,,Türkiye,53.9
2008-2009,2009-05-03,Denizlispor,Eskisehirspor,3.0,2.0,H,1,1.0,3,30,784,Mesut Bakkal,20.0,165,Ali Yalçın,2008-11-03,1.0,2009-04-27,2009-04-20,,Türkiye,53.9
2008-2009,2009-05-09,Denizlispor,Fenerbahce,0.0,1.0,H,0,-1.0,0,31,784,Mesut Bakkal,21.0,165,Ali Yalçın,2008-11-03,1.0,2009-05-04,2009-04-27,,Türkiye,53.9
2008-2009,2009-05-17,Denizlispor,Ankaraspor,2.0,0.0,H,1,2.0,3,32,784,Mesut Bakkal,22.0,165,Ali Yalçın,2008-11-03,1.0,2009-05-11,2009-05-04,,Türkiye,53.9
2008-2009,2009-05-24,Denizlispor,Ankaragucu,0.0,3.0,H,0,-3.0,0,33,784,Mesut Bakkal,23.0,165,Ali Yalçın,2008-11-03,1.0,2009-05-18,2009-05-11,,Türkiye,53.9
2008-2009,2009-05-30,Denizlispor,Besiktas,1.0,2.0,A,1,-1.0,0,34,784,Mesut Bakkal,24.0,165,Ali Yalçın,2008-11-03,1.0,2009-05-25,2009-05-18,,Türkiye,53.9
2009-2010,2009-08-09,Denizlispor,Fenerbahce,0.0,2.0,A,1,-2.0,0,1,9012,Erhan Altın,-3.0,163,Erhan Altın,2009-09-01,0.0,2009-08-03,2009-07-27,,Türkiye,58.8
2009-2010,2009-08-15,Denizlispor,Galatasaray,1.0,4.0,H,0,-3.0,0,2,9012,Erhan Altın,-2.0,163,Erhan Altın,2009-09-01,0.0,2009-08-10,2009-08-03,,Türkiye,58.8
2009-2010,2009-08-29,Denizlispor,Kayserispor,0.0,3.0,H,0,-3.0,0,3,9012,Erhan Altın,-1.0,163,Erhan Altın,2009-09-01,0.0,2009-08-24,2009-08-17,,Türkiye,58.8
2009-2010,2009-09-12,Denizlispor,Diyarbakirspor,0.0,0.0,D,1,0.0,1,4,,,0.0,163,Erhan Altın,2009-09-01,1.0,2009-09-07,2009-08-31,,,
2009-2010,2009-09-16,Denizlispor,Sivasspor,1.0,1.0,D,1,0.0,1,5,,,1.0,163,Erhan Altın,2009-09-01,1.0,2009-09-14,2009-09-07,,,
2009-2010,2009-09-27,Denizlispor,Manisaspor,1.0,1.0,D,1,0.0,1,6,,,2.0,163,Erhan Altın,2009-09-01,1.0,2009-09-21,2009-09-14,,,
2009-2010,2009-10-03,Denizlispor,Besiktas,0.0,1.0,H,0,-1.0,0,7,,,3.0,163,Erhan Altın,2009-09-01,1.0,2009-09-28,2009-09-21,,,
2009-2010,2009-10-17,Denizlispor,Bursaspor,2.0,3.0,A,1,-1.0,0,8,,,4.0,163,Erhan Altın,2009-09-01,1.0,2009-10-12,2009-10-05,,,
2009-2010,2009-10-25,Denizlispor,Kasimpasa,1.0,3.0,H,0,-2.0,0,9,,,5.0,163,Erhan Altın,2009-09-01,1.0,2009-10-19,2009-10-12,,,
2009-2010,2009-11-01,Denizlispor,Buyuksehyr,0.0,1.0,A,1,-1.0,0,10,5471,Hakan Kutlu,6.0,163,Erhan Altın,2009-09-01,1.0,2009-10-26,2009-10-19,,Türkiye,46.6
2009-2010,2009-11-08,Denizlispor,Eskisehirspor,0.0,2.0,H,0,-2.0,0,11,5471,Hakan Kutlu,7.0,163,Erhan Altın,2009-09-01,1.0,2009-11-02,2009-10-26,,Türkiye,46.6
2009-2010,2009-11-22,Denizlispor,Antalyaspor,1.0,1.0,D,1,0.0,1,12,5471,Hakan Kutlu,8.0,163,Erhan Altın,2009-09-01,1.0,2009-11-16,2009-11-09,,Türkiye,46.6
2009-2010,2009-11-29,Denizlispor,Ankaragucu,0.0,1.0,H,0,-1.0,0,13,5471,Hakan Kutlu,9.0,163,Erhan Altın,2009-09-01,1.0,2009-11-23,2009-11-16,,Türkiye,46.6
2009-2010,2009-12-06,Denizlispor,Genclerbirligi,0.0,2.0,H,0,-2.0,0,14,5471,Hakan Kutlu,10.0,163,Erhan Altın,2009-09-01,1.0,2009-11-30,2009-11-23,,Türkiye,46.6
2009-2010,2009-12-13,Denizlispor,Trabzonspor,0.0,1.0,A,1,-1.0,0,15,5471,Hakan Kutlu,11.0,163,Erhan Altın,2009-09-01,1.0,2009-12-07,2009-11-30,,Türkiye,46.6
2009-2010,2009-12-19,Denizlispor,Gaziantepspor,1.0,2.0,H,0,-1.0,0,16,5471,Hakan Kutlu,12.0,163,Erhan Altın,2009-09-01,1.0,2009-12-14,2009-12-07,,Türkiye,46.6
2009-2010,2010-01-22,Denizlispor,Fenerbahce,1.0,3.0,H,0,-2.0,0,17,5471,Hakan Kutlu,13.0,163,Erhan Altın,2009-09-01,1.0,2010-01-18,2010-01-11,,Türkiye,46.6
2009-2010,2010-01-31,Denizlispor,Galatasaray,1.0,2.0,A,1,-1.0,0,18,5471,Hakan Kutlu,14.0,163,Erhan Altın,2009-09-01,1.0,2010-01-25,2010-01-18,,Türkiye,46.6
2009-2010,2010-02-07,Denizlispor,Sivasspor,0.0,2.0,H,0,-2.0,0,19,5471,Hakan Kutlu,15.0,163,Erhan Altın,2009-09-01,1.0,2010-02-01,2010-01-25,,Türkiye,46.6
2009-2010,2010-02-14,Denizlispor,Kayserispor,1.0,0.0,H,1,1.0,3,20,5471,Hakan Kutlu,16.0,163,Erhan Altın,2009-09-01,1.0,2010-02-08,2010-02-01,,Türkiye,46.6
2009-2010,2010-02-21,Denizlispor,Diyarbakirspor,2.0,0.0,A,0,2.0,3,21,5471,Hakan Kutlu,17.0,163,Erhan Altın,2009-09-01,1.0,2010-02-15,2010-02-08,,Türkiye,46.6
2009-2010,2010-03-07,Denizlispor,Manisaspor,0.0,0.0,D,0,0.0,1,22,5471,Hakan Kutlu,18.0,163,Erhan Altın,2009-09-01,1.0,2010-03-01,2010-02-22,,Türkiye,46.6
2009-2010,2010-03-15,Denizlispor,Besiktas,0.0,1.0,A,1,-1.0,0,23,5471,Hakan Kutlu,19.0,163,Erhan Altın,2009-09-01,1.0,2010-03-15,2010-03-08,,Türkiye,46.6
2009-2010,2010-03-22,Denizlispor,Bursaspor,1.0,2.0,H,0,-1.0,0,24,5471,Hakan Kutlu,20.0,163,Erhan Altın,2009-09-01,1.0,2010-03-22,2010-03-15,,Türkiye,46.6
2009-2010,2010-03-28,Denizlispor,Kasimpasa,3.0,3.0,D,1,0.0,1,25,5471,Hakan Kutlu,21.0,163,Erhan Altın,2009-09-01,1.0,2010-03-22,2010-03-15,,Türkiye,46.6
2009-2010,2010-04-03,Denizlispor,Buyuksehyr,1.0,3.0,H,0,-2.0,0,26,5471,Hakan Kutlu,22.0,163,Erhan Altın,2009-09-01,1.0,2010-03-29,2010-03-22,,Türkiye,46.6
2009-2010,2010-04-11,Denizlispor,Eskisehirspor,1.0,0.0,H,1,1.0,3,27,5471,Hakan Kutlu,23.0,163,Erhan Altın,2009-09-01,1.0,2010-04-05,2010-03-29,,Türkiye,46.6
2009-2010,2010-04-18,Denizlispor,Antalyaspor,1.0,2.0,H,0,-1.0,0,28,5471,Hakan Kutlu,24.0,163,Erhan Altın,2009-09-01,1.0,2010-04-12,2010-04-05,,Türkiye,46.6
2009-2010,2010-04-24,Denizlispor,Ankaragucu,0.0,0.0,D,1,0.0,1,29,5471,Hakan Kutlu,25.0,163,Erhan Altın,2009-09-01,1.0,2010-04-19,2010-04-12,,Türkiye,46.6
2009-2010,2010-05-02,Denizlispor,Genclerbirligi,2.0,0.0,H,1,2.0,3,30,5471,Hakan Kutlu,26.0,163,Erhan Altın,2009-09-01,1.0,2010-04-26,2010-04-19,,Türkiye,46.6
2009-2010,2010-05-10,Denizlispor,Trabzonspor,1.0,2.0,H,0,-1.0,0,31,5471,Hakan Kutlu,27.0,163,Erhan Altın,2009-09-01,1.0,2010-05-10,2010-05-03,,Türkiye,46.6
2009-2010,2010-05-15,Denizlispor,Gaziantepspor,1.0,1.0,D,1,0.0,1,32,5471,Hakan Kutlu,28.0,163,Erhan Altın,2009-09-01,1.0,2010-05-10,2010-05-03,,Türkiye,46.6
2019-2020,2019-08-16,Denizlispor,Galatasaray,2.0,0.0,H,1,2.0,3,1,5204,Yücel İldiz,-7.0,162,Yücel İldiz,2019-10-08,0.0,2019-08-12,2019-08-05,,Türkiye,60.2
