season,match_date,team,opponent,gf,ga,FTR,home,goal_diff,points,match_n,trainer_id,manager_name,event_time,change_index,manager_out,fire_date,post,match_week_monday,prev_week_monday,exp_lag1,nationality,age_at_appointment
2004-2005,2004-08-15,A. Sebatspor,Trabzonspor,1.0,3.0,H,0,-2.0,0,2,,,,-1,,,,2004-08-09,2004-08-02,,,
2004-2005,2004-08-22,A. Sebatspor,Diyarbakirspor,2.0,2.0,D,1,0.0,1,3,,,,-1,,,,2004-08-16,2004-08-09,,,
2004-2005,2004-08-29,A. Sebatspor,Ankaragucu,1.0,2.0,H,0,-1.0,0,4,,,,-1,,,,2004-08-23,2004-08-16,,,
2004-2005,2004-09-11,A. Sebatspor,Fenerbahce,1.0,4.0,A,1,-3.0,0,5,,,,-1,,,,2004-09-06,2004-08-30,,,
2004-2005,2004-09-18,A. Sebatspor,Konyaspor,3.0,3.0,D,0,0.0,1,6,,,,-1,,,,2004-09-13,2004-09-06,,,
2004-2005,2004-09-25,A. Sebatspor,Rizespor,0.0,0.0,D,1,0.0,1,7,,,,-1,,,,2004-09-20,2004-09-13,,,
2004-2005,2004-10-03,A. Sebatspor,Samsunspor,0.0,3.0,H,0,-3.0,0,8,,,,-1,,,,2004-09-27,2004-09-20,,,
2004-2005,2004-10-17,A. Sebatspor,Istanbulspor,2.0,2.0,D,1,0.0,1,9,,,,-1,,,,2004-10-11,2004-10-04,,,
2004-2005,2004-10-24,A. Sebatspor,Kayserispor,1.0,4.0,H,0,-3.0,0,10,,,,-1,,,,2004-10-18,2004-10-11,,,
2004-2005,2004-10-31,A. Sebatspor,Galatasaray,0.0,2.0,H,0,-2.0,0,11,,,,-1,,,,2004-10-25,2004-10-18,,,
2004-2005,2004-11-06,A. Sebatspor,Malatyaspor,1.0,1.0,D,1,0.0,1,12,,,,-1,,,,2004-11-01,2004-10-25,,,
2004-2005,2004-11-21,A. Sebatspor,Genclerbirligi,1.0,1.0,D,0,0.0,1,13,,,,-1,,,,2004-11-15,2004-11-08,,,
2004-2005,2004-11-28,A. Sebatspor,Denizlispor,2.0,1.0,H,1,1.0,3,14,,,,-1,,,,2004-11-22,2004-11-15,,,
2004-2005,2004-12-05,A. Sebatspor,Gaziantepspor,4.0,6.0,H,0,-2.0,0,15,,,,-1,,,,2004-11-29,2004-11-22,,,
2004-2005,2004-12-11,A. Sebatspor,Sakaryaspor,0.0,1.0,A,1,-1.0,0,16,,,,-1,,,,2004-12-06,2004-11-29,,,
2004-2005,2004-12-19,A. Sebatspor,Besiktas,1.0,6.0,H,0,-5.0,0,17,,,,-1,,,,2004-12-13,2004-12-06,,,
2004-2005,2005-01-29,A. Sebatspor,Ankaraspor,1.0,2.0,H,0,-1.0,0,18,,,,-1,,,,2005-01-24,2005-01-17,,,
2004-2005,2005-02-06,A. Sebatspor,Trabzonspor,0.0,1.0,A,1,-1.0,0,19,,,,-1,,,,2005-01-31,2005-01-24,,,
2004-2005,2005-02-13,A. Sebatspor,Diyarbakirspor,0.0,1.0,H,0,-1.0,0,20,,,,-1,,,,2005-02-07,2005-01-31,,,
2004-2005,2005-02-19,A. Sebatspor,Ankaragucu,0.0,0.0,D,1,0.0,1,21,,,,-1,,,,2005-02-14,2005-02-07,,,
2004-2005,2005-02-27,A. Sebatspor,Fenerbahce,0.0,2.0,H,0,-2.0,0,22,,,,-1,,,,2005-02-21,2005-02-14,,,
2004-2005,2005-03-06,A. Sebatspor,Konyaspor,3.0,5.0,A,1,-2.0,0,23,,,,-1,,,,2005-02-28,2005-02-21,,,
2004-2005,2005-03-13,A. Sebatspor,Rizespor,1.0,2.0,H,0,-1.0,0,24,,,,-1,,,,2005-03-07,2005-02-28,,,
2004-2005,2005-03-20,A. Sebatspor,Samsunspor,3.0,0.0,H,1,3.0,3,25,,,,-1,,,,2005-03-14,2005-03-07,,,
2004-2005,2005-04-02,A. Sebatspor,Istanbulspor,0.0,1.0,H,0,-1.0,0,26,,,,-1,,,,2005-03-28,2005-03-21,,,
2004-2005,2005-04-09,A. Sebatspor,Kayserispor,0.0,0.0,D,1,0.0,1,27,,,,-1,,,,2005-04-04,2005-03-28,,,
2004-2005,2005-04-16,A. Sebatspor,Galatasaray,1.0,3.0,A,1,-2.0,0,28,,,,-1,,,,2005-04-11,2005-04-04,,,
2004-2005,2005-04-23,A. Sebatspor,Malatyaspor,2.0,2.0,D,0,0.0,1,29,,,,-1,,,,2005-04-18,2005-04-11,,,
