team,season,manager_out,trainer_id_out,fire_date,last_pre_n,first_post_n,n_pre_avail,n_post_avail
Zeytinburnu,1994-1995,Erol Togay,61208,1995-01-09,17,18,17,17
Zeytinburnu,1994-1995,Cihat Erbil,64743,1994-10-25,10,11,10,24
Karsiyaka,1995-1996,İlyas Sazalan,64081,1996-04-01,27,28,27,7
Karsiyaka,1995-1996,Zeynel Soyuer,10483,1996-04-03,27,28,27,7
Karsiyaka,1995-1996,Hidir Akbas,8932,1995-12-25,17,18,17,17
Karsiyaka,1995-1996,Erol Togay,61208,1995-11-14,11,12,11,23
Karsiyaka,1995-1996,Allan Harris,28808,1995-10-23,9,10,9,25
Malatyaspor,2005-2006,Ziya Doğan,795,2006-03-15,24,25,24,10
Malatyaspor,2005-2006,Feyyaz Uçar,809,2005-09-01,4,5,4,30
Malatyaspor,2004-2005,Aykut Kocaman,1061,2005-03-30,25,26,25,9
Malatyaspor,2003-2004,Ziya Doğan,795,2003-12-29,17,18,17,17
Malatyaspor,2001-2002,Erdoğan Arıca,783,2001-10-25,9,10,9,25
Malatyaspor,2001-2002,Yücel İldiz,5204,2001-09-04,3,4,3,31
Pendikspor,2023-2024,Ivo Vieira,2819,2024-02-29,27,28,27,11
Pendikspor,2023-2024,Osman Özköylü,9284,2023-10-09,8,9,8,30
