trainer_id,trainer_slug,manager,nationality,date_of_birth,place_of_birth,citizenship
23370,toprak-kirtoglu,Toprak Kırtoğlu,Türkiye,1971-06-10,,Türkiye
15310,ercan-ertemcoz,Ercan Ertemçöz,Türkiye,1956-08-25,Izmir,Türkiye
14232,zafer-bilgetay,Zafer Bilgetay,Türkiye,1956-10-15,Izmir,Türkiye
5212,fuat-yaman,Fuat Yaman,Türkiye,1958-12-05,Skopje,Türkiye
9106,tahir-karapinar,Tahir Karapınar,Türkiye,1967-04-20,Izmir,Türkiye
76336,umit-birol,Ümit Birol,Türkiye,1963-01-26,Samsun,Türkiye
6366,ismail-kartal,İsmail Kartal,Türkiye,1961-06-15,Istanbul,Türkiye
65201,enver-katip,Enver Katip,Türkiye,1944-07-25,Rize,Türkiye
6523,metin-tekin,Metin Tekin,Türkiye,1964-05-08,Kocaeli,Türkiye
2512,miodrag-jesic,Miodrag Jesic,Serbia,1958-11-30,Osečenica,Serbia
2018,reha-kapsal,Reha Kapsal,Türkiye,1963-04-11,Diyarbakir,Türkiye
86849,behic-funda,Behiç Funda,Türkiye,1954-03-22,Izmir,Türkiye
63248,zinnur-sari,Zinnur Sarı,Türkiye,1947-04-04,Kocaeli,Türkiye
22719,marian-bondrea,Marian Bondrea,Romania,1950-11-02,Craiova,Romania
54666,ivan-kyuchukov,Ivan Kyuchukov,Bulgaria,1946-02-01,Dupnitsa,Bulgaria
10481,milorad-mitrovic,Milorad Mitrovic,Serbia,1949-01-31,,Serbia
4097,rasit-cetiner,Raşit Çetiner,Türkiye,1959-09-10,Istanbul,Türkiye
4088,momcilo-vukotic,Momcilo Vukotic,Serbia,1950-06-02,Belgrade,Serbia
65295,erol-kaynak,Erol Kaynak,Türkiye,1934-03-10,Mugla,Türkiye
61073,erkan-kural,Erkan Kural,Türkiye,1936-06-17,Istanbul,Türkiye
2476,franciszek-smuda,Franciszek Smuda,Poland,1948-06-22,Lubomia,Poland Germany
5196,mehmet-akif-basaran,Mehmet Akif Başaran,Türkiye,1956-02-15,Izmir,Türkiye
23247,milos-milutinovic,Milos Milutinovic,Serbia,1933-02-05,Bajina Bašta,Serbia
12356,kalman-meszoly,Kálmán Mészöly,Hungary,1941-07-16,Budapest,Hungary
87567,ayfer-elmastasoglu,Ayfer Elmastaşoğlu,Türkiye,1944-02-16,Izmir,Türkiye
127921,coskun-suer,Coşkun Süer,Türkiye,1943-12-16,Zonguldak,Türkiye
124938,dogan-aki,Doğan Akı,Türkiye,1936-05-12,Aydin,Türkiye
46077,candan-tarhan,Candan Tarhan,Türkiye,1942-06-27,Gaziantep,Türkiye
28494,necdet-nis,Necdet Niş,Türkiye,,,
99017,akin-barhan,Akın Barhan,Türkiye,1935-07-01,Izmir,Türkiye
78405,bayram-dinsel,Bayram Dinsel,Türkiye,1925-03-13,Izmir,Türkiye
90259,sukru-ersoy,Şükrü Ersoy,Türkiye,1931-01-14,Istanbul,Türkiye
32264,stjepan-bobek,Stjepan Bobek,Croatia,1923-12-03,Zagreb,Croatia
2708,ted-dumitru,Ted Dumitru,Romania,1939-09-02,Bucharest,Romania
28545,gunduz-kilic,Gündüz Kılıç,Türkiye,1918-10-29,Istanbul,Türkiye
106592,halil-bicakci,Halil Bıçakçı,Türkiye,1926-07-11,Izmir,Türkiye
77868,istvan-turbeky,István Turbeky,Hungary,1922-11-23,Szigetvár,Hungary
110085,ivo-buzzegoli,Ivo Buzzegoli,Italy,1919-09-29,Lastra a Signa,Italy
28542,leandro-remondini,Leandro Remondini,Italy,1917-11-17,Verona,Italy
37380,recep-karatepe,Recep Karatepe,Türkiye,1977-07-04,Ankara,Türkiye
3106,kemal-ozdes,Kemal Özdeş,Türkiye,1970-05-10,Manisa,Türkiye
70331,hakan-demirkan,Hakan Demirkan,Türkiye,1971-10-04,Ankara,Türkiye
17833,kenan-kocak,Kenan Kocak,Germany,1981-01-05,Kayseri,Germany
82796,emre-belozoglu,Emre Belözoğlu,Türkiye,1980-09-07,Istanbul,Türkiye
107881,sedat-agcay,Sedat Ağçay,Türkiye,1981-09-22,Mus,Türkiye
2043,fuat-capa,Fuat Çapa,Türkiye,1968-08-15,Afyonkarahisar,Türkiye
43477,ibrahim-uzulmez,İbrahim Üzülmez,Türkiye,1974-03-10,Kocaeli,Türkiye
5199,metin-diyadin,Metin Diyadin,Türkiye,,,
38129,aykan-atik,Aykan Atik,Türkiye,1971-12-28,Ankara,Türkiye
30871,bayram-bektas,Bayram Bektaş,Türkiye,1974-02-10,Trabzon,Türkiye
30975,hayati-soydas,Hayati Soydaş,Türkiye,1966-05-01,Gümüshane,Türkiye
36504,muammer-ozdemir,Muammer Özdemir,Türkiye,1958-12-12,Ankara,Türkiye
19319,celal-kiprizli,Celal Kıprızlı,Türkiye,1950-04-28,Giresun,Türkiye
32673,fuat-akyuz,Fuat Akyüz,Türkiye,1959-11-30,Ankara,Türkiye
27374,yilmaz-ozlem,Yılmaz Özlem,Türkiye,1972-06-01,Bursa,Türkiye
1051,roger-lemerre,Roger Lemerre,France,1941-06-18,Bricquebec,France
12285,nazmi-erdenerin,Nazmi Erdenerin,Türkiye,1959-05-29,Ankara,Türkiye
787,ozcan-bizati,Özcan Bizati,Türkiye,1968-05-31,Denizli,Türkiye
24,hans-peter-briegel,Hans-Peter Briegel,Germany,1955-10-11,Kaiserslautern,Germany
73120,vlado-bozinovski,Vlado Bozinovski,Australia,1964-03-30,Ohrid,Australia North Macedonia
16989,adnan-senturk,Adnan Şentürk,Türkiye,1958-12-19,Trabzon,Türkiye
789,riza-calimbay,Rıza Çalımbay,Türkiye,1963-02-02,Sivas,Türkiye
57966,tevfik-lav,Tevfik Lav,Türkiye,1959-07-11,Mersin,Türkiye
5599,mihai-stoichita,Mihai Stoichiță,Romania,1954-05-10,Bucharest,Romania
25611,tinaz-tirpan,Tınaz Tırpan,Türkiye,1939-04-28,Ankara,Türkiye
7416,jozef-jarabinsky,Jozef Jarabinsky,Czech Republic,1944-03-12,Jarabina,Czech Republic
62729,kamuran-yavuz,Kamuran Yavuz,Türkiye,1947-12-30,Tekirdag,Türkiye
7927,valeriy-nepomnyashchiy,Valeriy Nepomnyashchiy,Russia,1943-08-07,"Slavgorod, Altay Region",Russia Turkmenistan
69239,cevat-irez,Cevat İrez,Türkiye,1940-08-13,Ankara,Türkiye
253,fatih-terim,Fatih Terim,Türkiye,1953-09-04,Adana,Türkiye
31003,brian-birch,Brian Birch,England,1931-11-18,Salford,England
46133,yilmaz-gokdel,Yılmaz Gökdel,Türkiye,1940-02-20,Istanbul,Türkiye
106507,ismet-arikan,İsmet Arıkan,Türkiye,1934-06-16,Konya,Türkiye
31712,sabri-kiraz,Sabri Kiraz,Türkiye,1920-06-24,Istanbul,Türkiye
135894,mustafa-hasanagic,Mustafa Hasanagic,Serbia,1941-04-20,Priboj,Serbia
72921,ziya-taner,Ziya Taner,Türkiye,1924-04-03,Skopje,Türkiye North Macedonia
93423,mustafa-ertan,Mustafa Ertan,Türkiye,1926-04-21,Bursa,Türkiye
72084,galip-turkkan,Galip Türkkan,Türkiye,,Skopje,Türkiye
108886,bedri-kaya,Bedri Kaya,Türkiye,,,Türkiye
110059,fikret-bilal,Fikret Bilal,Türkiye,,,Türkiye
2627,bahaddin-gunes,Bahaddin Güneş,Türkiye,1960-03-10,Trabzon,Türkiye
